project_name,location,area_tags,commute_tags,min_price,max_price,bedroom,location_score,price_score,space_score,facility_score,ciq_score,developer_score
Sample Project A,JB Sentral,"JB Sentral;CIQ","CIQ;Singapore",520000,650000,3,0.95,0.80,0.75,0.85,0.98,0.85
Sample Project B,Iskandar Puteri,"Iskandar Puteri","Second Link;Singapore",480000,620000,3,0.82,0.88,0.90,0.88,0.70,0.88
Sample Project C,Mount Austin,"Mount Austin","Tebrau;Austin",420000,580000,3,0.86,0.94,0.88,0.92,0.45,0.84
Sample Project D,Bukit Indah,"Bukit Indah","Second Link;Mall",450000,600000,2,0.89,0.91,0.78,0.86,0.62,0.83
Sample Project E,Kulai,"Kulai","Kulai;Airport",300000,450000,3,0.68,0.98,0.92,0.76,0.25,0.78
Sample Project F,JB Sentral,"JB Sentral;CIQ","CIQ;Singapore",650000,800000,2,0.97,0.68,0.82,0.89,0.99,0.90
Sample Project G,Iskandar Puteri,"Iskandar Puteri","Second Link;Singapore",650000,850000,4BR,0.84,0.72,0.95,0.91,0.72,0.90
Jasmine 2 @ Meridin East,Meridin East,"Meridin East;Pasir Gudang;Masai","Senai-Desaru Expressway;Pasir Gudang",744800,988960,4BR,0.72,0.72,0.90,0.78,0.35,0.82
The Crest @ Jade 1,Taman JP Perdana / Crest@Austin,"Mount Austin;Taman JP Perdana;Tebrau;Crest@Austin","Austin;Tebrau;Johor Bahru",1323000,2723000,4BR+,0.92,0.45,0.98,0.92,0.55,0.88
Pearl 1 @ Crest@Austin,Taman JP Perdana / Crest@Austin,"Mount Austin;Taman JP Perdana;Tebrau;Crest@Austin","Austin;Tebrau;Johor Bahru",773000,1190000,4BR,0.93,0.86,0.82,0.90,0.55,0.88
Pearl 2 @ Crest@Austin,Taman JP Perdana / Crest@Austin,"Mount Austin;Taman JP Perdana;Tebrau;Crest@Austin","Austin;Tebrau;Johor Bahru",817000,1306000,4BR,0.93,0.82,0.84,0.90,0.55,0.88
Pearl 3 @ Crest@Austin,Taman JP Perdana / Crest@Austin,"Mount Austin;Taman JP Perdana;Tebrau;Crest@Austin","Austin;Tebrau;Johor Bahru",895000,1347000,4BR,0.93,0.76,0.90,0.90,0.55,0.88
Pearl 4 @ Crest@Austin,Taman JP Perdana / Crest@Austin,"Mount Austin;Taman JP Perdana;Tebrau;Crest@Austin","Austin;Tebrau;Johor Bahru",944000,1732000,4BR,0.93,0.70,0.94,0.90,0.55,0.88
